sampleID,crAssPhage_DepthPG
AH.T5,0
AH.T7,0
AH.T9,0
FJ.T10,0
FJ.T5,0
FJ.T7,0
FX.T6,0
FX.T7,0
FX.T8,0
GD.T10,0
GD.T16,0
GD.T18,0
GD.T26,0
GD.T28,0.000336572964741423
GD.T30,4.03949264140047e-05
GD.T6,0
GD.T8,0
GS.T16,0
GS.T17,0
GS.T19,4.68649566680938e-05
GS.T5,8.62108090623015e-05
GS.T7,0
GS.T8,0
GX.T5,0
GX.T7,0
GX.T9,0
GZ.T10,0
GZ.T5,0
GZ.T7,0
HeB.T10,0
HeB.T6,0
HeB.T8,5.09027429225553e-05
HLJ.T5,0
HLJ.T7,0
HLJ.T9,0
HuB.T10,0
HuB.T6,0
HuB.T8,0
HuN.T15,0
HuN.T17,0
HuN.T19,0
HuN.T5,0
HuN.T7,0
HuN.T9,0
JS.T5,0
JS.T7,0
JS.T9,0
JX.T10,0
JX.T15,3.50574896174206e-05
JX.T17,0
JX.T19,0
JX.T27,0
JX.T28,5.62913931432348e-05
JX.T35,0
JX.T37,0
JX.T39,0
JX.T45,0
JX.T47,0
JX.T5,0
JX.T50,0
JX.T7,0
LD180201-0001,4.25729441357716e-05
LD180201-0003,0.000167102367015241
LD180201-0005,0.00017233336364252
LD180201-0006,1.62651449184956e-06
LD180201-0007,0
LD180201-0008,0
LD180201-0009,1.32208592258177e-06
LD180201-0010,6.43726390797887e-05
LD180201-0011,0
LD180201-0012,1.14486597534222e-06
LD180201-0013,0
LD180201-0014,0
LD180201-0015,1.21000009513496e-06
LD180201-0016,1.59535840418341e-06
LD180201-0017,3.70521574295436e-05
LD180201-0018,0
LD180201-0019,0
LD180205-0002,0.000169501807866946
LD180205-0003,1.51485727667844e-06
LD180205-0004,4.15604665757117e-06
LD180205-0005,2.75473858659001e-06
LD180205-0006,1.42108044839508e-06
LD180205-0007,0
LD180319-0001,0
LD180319-0002,1.33634773924403e-06
LD180319-0003,0
LD180319-0004,1.42385471469695e-06
LD180319-0005,0
LD180319-0006,0
LD180319-0007,0
LD180319-0008,0
LD180319-0009,0
LD180319-0010,0
LD180319-0011,0.0016232339607322
LD180319-0012,0.00215093604919672
LD180319-0013,0.000621425945499812
LD180319-0014,0.000495949694424092
LD180319-0015,0.000958938887997365
LD180319-0016,0.00102861707220786
LD180320-0020,1.29016256676465e-06
LD180320-0021,1.27485778561573e-06
LD180320-0022,4.83038328993545e-06
LD180320-0023,0.00447840073089612
LD180320-0024,0.00380339713422235
LD180320-0025,0.00515160825374467
LD180320-0026,0.00665117821968676
LD180320-0027,0.00468565082525728
LD180320-0028,1.30262115206925e-06
LD180320-0029,3.60988730446847e-05
LD180320-0030,0.000220717445431697
LD180320-0031,1.34414255590513e-06
LD180320-0032,1.96004077442146e-05
LD180320-0033,0.000417051386111
LD180320-0034,0.000418846581579911
LD180321-0001,0
LD180321-0002,0
LD180327-0003,0
LD180327-0004,0
LD180327-0005,0
LD180327-0006,0
LD180327-0007,0
LD180327-0008,0
LD180327-0009,0
LD180328-0001,0
LD180328-0002,0
LD180328-0003,3.8456348516412e-06
LD180328-0004,0
LD180328-0005,0
LD180328-0006,0
LD180328-0007,0
LD180328-0008,0.00016449734241747
LD180328-0009,0.000494770134735885
LD180328-0010,0.000127586850004382
LD180328-0011,0
LD180328-0012,0
LD180328-0014,0
LD180402-0001,0
LD180402-0002,3.7266313549089e-06
LD180402-0003,0
LD180402-0004,0
LD180402-0005,0
LD180402-0006,0
LD180402-0007,0
LD180402-0008,0
LD180402-0009,1.28005289152873e-06
LD180402-0010,0
LD180402-0011,0
LD180402-0012,0
LD180402-0013,1.41200579253548e-06
LD180402-0014,0
LN.T10,0
LN.T6,0
LN.T8,2.628650065879e-05
NM.T16,5.20807665611137e-05
NM.T18,0
NM.T20,0
NM.T26,0
NM.T28,0
NM.T30,0
NM.T35,0
NM.T38,0
NM.T40,0
NM.T7,0
NM.T8,0
NM.T9,0
pubAMD_S1_lane1,0
pubAMD_S10_FK.Sedi.C1.2,0
pubAMD_S11_FK.Sedi.C1.3,0
