sample	core_label_1	sampleCollection	type_distance	distKb
AADL01.1	bacitracin	pubAMD	mediam_leastDistance	26.15
AADL01.1	glycopeptide	pubAMD	mediam_leastDistance	21.9115
AADL01.1	multidrug	pubAMD	mediam_leastDistance	155.801
AADL01.1	mupirocin	pubAMD	mediam_leastDistance	28.581
AADL01.1	other	pubAMD	mediam_leastDistance	134.222
AADL01.1	phenicol	pubAMD	mediam_leastDistance	52.353
AADL01.1	unclassified	pubAMD	mediam_leastDistance	50.696
AAWO01.1	bacitracin	pubAMD	mediam_leastDistance	33.613
AAWO01.1	glycopeptide	pubAMD	mediam_leastDistance	46.9725
AAWO01.1	multidrug	pubAMD	mediam_leastDistance	31.5755
AH_tailings	aminoglycoside	Tailing	mediam_leastDistance	2.08
AH_tailings	bacitracin	Tailing	mediam_leastDistance	6.4
AH_tailings	beta-lactam	Tailing	mediam_leastDistance	0.859
AH_tailings	glycopeptide	Tailing	mediam_leastDistance	3.751
AH_tailings	MLS	Tailing	mediam_leastDistance	12.379
AH_tailings	multidrug	Tailing	mediam_leastDistance	4.701
AH_tailings	mupirocin	Tailing	mediam_leastDistance	10.398
AH_tailings	other	Tailing	mediam_leastDistance	0.545
AH_tailings	phenicol	Tailing	mediam_leastDistance	5.183
AH_tailings	sulfonamide	Tailing	mediam_leastDistance	81.794
AH_tailings	tetracycline	Tailing	mediam_leastDistance	4.942
AH_tailings	unclassified	Tailing	mediam_leastDistance	1.84
AUZY01.1	other	pubAMD	mediam_leastDistance	6.386
CABL01.1	aminoglycoside	pubAMD	mediam_leastDistance	64.203
CABL01.1	bacitracin	pubAMD	mediam_leastDistance	51.884
CABL01.1	beta-lactam	pubAMD	mediam_leastDistance	8.893
CABL01.1	glycopeptide	pubAMD	mediam_leastDistance	24.343
CABL01.1	multidrug	pubAMD	mediam_leastDistance	41.032
CABL01.1	other	pubAMD	mediam_leastDistance	54.07
CABL01.1	phenicol	pubAMD	mediam_leastDistance	29.845
CABL01.1	sulfonamide	pubAMD	mediam_leastDistance	46.41
CABM01.1	aminoglycoside	pubAMD	mediam_leastDistance	37.287
CABM01.1	bacitracin	pubAMD	mediam_leastDistance	23.645
CABM01.1	beta-lactam	pubAMD	mediam_leastDistance	40.65
CABM01.1	multidrug	pubAMD	mediam_leastDistance	35.978
CABM01.1	other	pubAMD	mediam_leastDistance	51.254
CABM01.1	phenicol	pubAMD	mediam_leastDistance	171.566
CABM01.1	sulfonamide	pubAMD	mediam_leastDistance	7.781
CABM01.1	tetracycline	pubAMD	mediam_leastDistance	15.274
CABO01.1	aminoglycoside	pubAMD	mediam_leastDistance	167.696
CABO01.1	bacitracin	pubAMD	mediam_leastDistance	179.878
CABO01.1	MLS	pubAMD	mediam_leastDistance	7.243
CABO01.1	multidrug	pubAMD	mediam_leastDistance	47.263
CABO01.1	other	pubAMD	mediam_leastDistance	31.1015
CABO01.1	phenicol	pubAMD	mediam_leastDistance	0.225
CABP01.1	beta-lactam	pubAMD	mediam_leastDistance	34.524
CABP01.1	multidrug	pubAMD	mediam_leastDistance	17.055
CABQ01.1	multidrug	pubAMD	mediam_leastDistance	2.595
CABR01.1	other	pubAMD	mediam_leastDistance	9.724
CABR01.1	tetracycline	pubAMD	mediam_leastDistance	12.919
CABS01.1	bacitracin	pubAMD	mediam_leastDistance	6.646
CABS01.1	MLS	pubAMD	mediam_leastDistance	37.7505
CABS01.1	multidrug	pubAMD	mediam_leastDistance	7.981
CMS4	aminoglycoside	pubAMD	mediam_leastDistance	36.9995
CMS4	bacitracin	pubAMD	mediam_leastDistance	40.847
CMS4	beta-lactam	pubAMD	mediam_leastDistance	67.1165
CMS4	glycopeptide	pubAMD	mediam_leastDistance	10.9155
CMS4	MLS	pubAMD	mediam_leastDistance	11.806
CMS4	multidrug	pubAMD	mediam_leastDistance	38.707
CMS4	mupirocin	pubAMD	mediam_leastDistance	66.455
CMS4	other	pubAMD	mediam_leastDistance	98.184
CMS4	phenicol	pubAMD	mediam_leastDistance	11.702
CMS4	sulfonamide	pubAMD	mediam_leastDistance	112.3695
CMS4	tetracycline	pubAMD	mediam_leastDistance	78.819
CMS4	unclassified	pubAMD	mediam_leastDistance	27.8405
DBS5	aminoglycoside	pubAMD	mediam_leastDistance	4.844
DBS5	bacitracin	pubAMD	mediam_leastDistance	10.109
DBS5	beta-lactam	pubAMD	mediam_leastDistance	7.774
DBS5	glycopeptide	pubAMD	mediam_leastDistance	32.014
DBS5	MLS	pubAMD	mediam_leastDistance	2.984
DBS5	multidrug	pubAMD	mediam_leastDistance	14.705
DBS5	mupirocin	pubAMD	mediam_leastDistance	60.627
DBS5	other	pubAMD	mediam_leastDistance	19.6515
DBS5	phenicol	pubAMD	mediam_leastDistance	15.732
DBS5	sulfonamide	pubAMD	mediam_leastDistance	2.554
DBS5	tetracycline	pubAMD	mediam_leastDistance	17.3925
DBS5	unclassified	pubAMD	mediam_leastDistance	23.704
DC1	aminoglycoside	pubAMD	mediam_leastDistance	26.127
DC1	bacitracin	pubAMD	mediam_leastDistance	29.6845
DC1	beta-lactam	pubAMD	mediam_leastDistance	35.1895
DC1	glycopeptide	pubAMD	mediam_leastDistance	13.354
DC1	MLS	pubAMD	mediam_leastDistance	8.4585
DC1	multidrug	pubAMD	mediam_leastDistance	27.548
DC1	mupirocin	pubAMD	mediam_leastDistance	54.182
DC1	other	pubAMD	mediam_leastDistance	13.818
DC1	phenicol	pubAMD	mediam_leastDistance	29.343
DC1	sulfonamide	pubAMD	mediam_leastDistance	37.806
DC1	tetracycline	pubAMD	mediam_leastDistance	37.711
DC1	unclassified	pubAMD	mediam_leastDistance	9.452
FJ_tailings	aminoglycoside	Tailing	mediam_leastDistance	14.226
FJ_tailings	bacitracin	Tailing	mediam_leastDistance	0.4955
FJ_tailings	beta-lactam	Tailing	mediam_leastDistance	7.399
FJ_tailings	glycopeptide	Tailing	mediam_leastDistance	6.0135
FJ_tailings	MLS	Tailing	mediam_leastDistance	34.66
FJ_tailings	multidrug	Tailing	mediam_leastDistance	9.3315
FJ_tailings	other	Tailing	mediam_leastDistance	9.7345
FJ_tailings	phenicol	Tailing	mediam_leastDistance	8.506
FJ_tailings	sulfonamide	Tailing	mediam_leastDistance	20.459
