ARG	sampleID	DepthPG	drug_type	res_mechanism	sampleType
aac(3)-I	AH.T5	0.229846153846154	aminoglycoside	antibiotic inactivation	mine
aac(6')-I	AH.T5	1.04230769230769	aminoglycoside	antibiotic inactivation	mine
aac(6')-II	AH.T5	5.02292307692308	aminoglycoside	antibiotic inactivation	mine
aad(9)	AH.T5	3.42761538461538	aminoglycoside	antibiotic inactivation	mine
aadE	AH.T5	2.04415384615385	aminoglycoside	antibiotic inactivation	mine
acrB	AH.T5	0.123692307692308	multidrug	antibiotic efflux	mine
adeC	AH.T5	0.295	multidrug	antibiotic efflux	mine
AIM-1	AH.T5	0.253923076923077	beta-lactam	antibiotic inactivation	mine
APH(9)-Ia	AH.T5	6.60084615384615	aminoglycoside	antibiotic inactivation	mine
bacA	AH.T5	7.52834615384615	bacitracin	antibiotic target alteration	mine
baeR	AH.T5	0.162961538461538	multidrug	antibiotic efflux	mine
bcrA	AH.T5	88.4067692307692	bacitracin	antibiotic efflux	mine
bicyclomycin-multidrug_efflux_protein_bcr	AH.T5	0.184038461538462	multidrug	antibiotic efflux	mine
Brucella_suis_mprF	AH.T5	0.0905	peptide	antibiotic target alteration	mine
catB	AH.T5	21.4008076923077	phenicol	antibiotic inactivation	mine
cfrC	AH.T5	69.5666153846154	phenicol	antibiotic target alteration	mine
chloramphenicol_and_florfenicol_exporter	AH.T5	0.710846153846154	phenicol	antibiotic efflux	mine
chloramphenicol_and_florfenicol_resistance	AH.T5	5.50703846153846	phenicol	antibiotic efflux	mine
class_A	AH.T5	1.23869230769231	beta-lactam	antibiotic inactivation	mine
class_C	AH.T5	78.0185384615385	beta-lactam	antibiotic inactivation	mine
clbB	AH.T5	2.98853846153846	phenicol	antibiotic target alteration	mine
clbC	AH.T5	5.43496153846154	phenicol	antibiotic target alteration	mine
cmeB	AH.T5	0.0140769230769231	multidrug	antibiotic efflux	mine
cob(I)alamin_adenolsyltransferase	AH.T5	0.190038461538462	unclassified	unknown	mine
cpaA	AH.T5	0.103384615384615	aminoglycoside	antibiotic inactivation	mine
cystathionine_beta-lyase_patB	AH.T5	0.195346153846154	unclassified	unknown	mine
dfrA3	AH.T5	7.18569230769231	diaminopyrimidine	antibiotic target alteration	mine
dfrC	AH.T5	219.458923076923	diaminopyrimidine	antibiotic target alteration	mine
dfrG	AH.T5	9.84488461538461	diaminopyrimidine	antibiotic target alteration	mine
DHA-12	AH.T5	3.49326923076923	beta-lactam	antibiotic inactivation	mine
efrB	AH.T5	0.0597307692307692	multidrug	antibiotic efflux	mine
emrA	AH.T5	8.65411538461538	multidrug	antibiotic efflux	mine
emrB	AH.T5	7.1115	multidrug	antibiotic efflux	mine
EmrB-QacA_family_major_facilitator_transporter	AH.T5	60.0751923076923	multidrug	antibiotic efflux	mine
emrD	AH.T5	3.53688461538462	multidrug	antibiotic efflux	mine
emrE	AH.T5	2.56969230769231	multidrug	antibiotic efflux	mine
eptA	AH.T5	0.0700384615384615	peptide	antibiotic target alteration	mine
farA	AH.T5	0.239076923076923	antibacterial_free_fatty_acids	antibiotic efflux	mine
farB	AH.T5	0.0373461538461538	antibacterial_free_fatty_acids	antibiotic efflux	mine
floR	AH.T5	0.0958461538461538	phenicol	antibiotic efflux	mine
fosA	AH.T5	4.73130769230769	fosfomycin	antibiotic inactivation	mine
FosA3	AH.T5	2.405	fosfomycin	antibiotic inactivation	mine
hp1181	AH.T5	133.796769230769	multidrug	antibiotic efflux	mine
kasugamycin_resistance_protein_ksgA	AH.T5	204.487	aminoglycoside	antibiotic target alteration	mine
LlmA_23S_ribosomal_RNA_methyltransferase	AH.T5	0.556230769230769	MLS	antibiotic target alteration	mine
LpeB	AH.T5	112.514653846154	MLS	antibiotic efflux	mine
LRA-5	AH.T5	0.331230769230769	beta-lactam	antibiotic inactivation	mine
major_facilitator_superfamily_transporter	AH.T5	5.54088461538462	multidrug	antibiotic efflux	mine
MCR-2	AH.T5	0.0355	peptide	antibiotic target alteration	mine
mdfA	AH.T5	62.5340769230769	multidrug	antibiotic efflux	mine
mdtA	AH.T5	0.0452307692307692	multidrug	antibiotic efflux	mine
mef(B)	AH.T5	0.261769230769231	MLS	antibiotic efflux	mine
mexB	AH.T5	0.0368846153846154	multidrug	antibiotic efflux	mine
mexE	AH.T5	0.296615384615385	multidrug	antibiotic efflux	mine
mexH	AH.T5	91.6575	multidrug	antibiotic efflux	mine
mexP	AH.T5	0.0496923076923077	multidrug	antibiotic efflux	mine
MexV	AH.T5	151.982269230769	multidrug	antibiotic efflux	mine
mexW	AH.T5	0.037	multidrug	antibiotic efflux	mine
mexX	AH.T5	0.0745769230769231	multidrug	antibiotic efflux	mine
