,longitude,latitude,position5,NS,EMW,lon_cat,lat_cat,MAT,MAP,TP,pH,EC,TN,TC,avail_K,K,DTPA_Cd,Cd,DTPA_Cu,Cu,DTPA_Pb,Pb,DTPA_Zn,Zn,Nemerow,Nemerow_cat,PLI,PLI_cat,EcoRI,EcoRI_cat,TImetal,TImetal_cat,TImetal_avail,TImetal_avail_cat1,multiMetalIndex_total,multiMetalIndex_avail
AH.T5,117.977325,30.9286583333333,SE,S,E,110-120,27-34,16.3,1273,0.00864062236347325,7.15,6.07,1.24183934147034,45.42,29.7067,2.52981636817048,1.1904,3.61538653366584,24.0268,449.058603491272,4.0852,229.892768079801,9.7144,684.763092269327,13.8533890931269,heavy pollution,5.7125240626549,Veryheavy pollution,646.14866405415,Veryheavy pollution,19.1774747174897,l1,18358.3317364484,l2,-0.50751604566976,-0.643874819869422
AH.T7,117.977325,30.9286583333333,SE,S,E,110-120,27-34,16.3,1273,0.0061223053663303,7.02,9.35,1.96684461927508,41.79,63.5357,2.40220312016617,0.4568,1.22554691298007,24.0402,545.752309188138,0.7948,137.936315021877,5.904,505.833738454059,11.9292494753218,heavy pollution,3.73422234413175,Veryheavy pollution,286.560177790124,medium pollution,20.2166533203807,l2,17034.4907997997,l2,-0.560414995837095,-0.757989594013022
AH.T9,117.977325,30.9286583333333,SE,S,E,110-120,27-34,16.3,1273,0.00629816705813274,7.32,4.32,0.830840810900632,58.88,44.0977,2.37252878126241,0.269,0.982751091703057,12.7596,361.650897622513,1.2276,111.055312954876,5.1074,375.351770984959,8.01086172278432,heavy pollution,2.80301171290402,heavy pollution,218.695640119221,medium pollution,13.77806092373,l1,11991.9560637401,l2,-0.697614334958099,-0.870969345984456
FJ.T10,116.389761666666,25.2026433333333,SE,S,E,110-120,23-27,19.7,1682,0.241078207685158,3.26,1.43,0.292031706299541,1.112,3.438,1.50141020595566,0.1708,0.465007215007215,357.6348,790.193602693603,0.3723,114.158249158249,19.2143,15.3198653198653,16.4920478163377,heavy pollution,1.27919293299926,medium pollution,199.097402597403,medium pollution,22.890432383166,l2,18741.78063304,l2,-0.501285853630473,1.92345266015
FJ.T5,116.389761666666,25.2026433333333,SE,S,E,110-120,23-27,19.7,1682,0.222954155185418,3.91,0.95,0.493931696302568,0.2553,1.947,1.89787021851868,0.0434,1.17832764505119,187.686,542.205021940517,3.1495,122.908337396392,4.9827,16.8454412481716,11.5926278854761,heavy pollution,1.53221787321005,medium pollution,271.933795361148,medium pollution,15.8396564025761,l1,14013.8857168519,l2,-0.625540949674737,0.529657551247679
FJ.T7,116.389761666666,25.2026433333333,SE,S,E,110-120,23-27,19.7,1682,0.200383415229768,3.15,2.04,0.44012854547995,0.2409,2.258,1.41353889774942,0.1006,0.860989278752437,232.9966,389.601608187135,0.0705,89.9537037037037,9.8031,17.3976608187135,8.33827775430228,heavy pollution,1.21612800061489,medium pollution,197.830270119744,medium pollution,11.4302908775199,l1,10138.5913156429,l2,-0.73497925313825,0.891716367863824
FX.T6,106.602385,33.8931166666666,NW,N,W,100-110,27-34,10.1,758,0.0287128711579079,8.35,0.85,0.199857244825125,62.78,10.4265,0.193339178131463,0.5996,6.06664193867458,6.216,36.4305143422354,268.8802,1340.07665677547,93.4564,1933.13550939664,23.4342541056668,heavy pollution,6.98873529032723,Veryheavy pollution,1125.9715274834,Veryheavy pollution,19.9734852614228,l1,44448.2572808133,l5,0.0532170863949996,0.786929779825216
FX.T7,106.602385,33.8931166666666,NW,N,W,100-110,27-34,10.1,758,0.0161822694370886,8.37,0.9,0.0997861724875268,66.71,19.0115,0.119072347195828,0.886,7.61631016042781,14.5522,48.8879436071949,222.8962,1117.29946524064,145.3978,2047.73942634905,28.3614293060258,heavy pollution,7.71871237836925,Veryheavy pollution,1329.52211959164,Veryheavy pollution,21.0015033381312,l2,39742.2236467445,l4,-0.0275042067738042,0.684385463904894
FX.T8,106.602385,33.8931166666666,NW,N,W,100-110,27-34,10.1,758,0.00260394166983176,8.43,0.76,0.0996866989461693,64.46,15.1435,0.170160686770856,0.691,6.86041162227603,9.4832,53.8075060532688,194.7222,1042.48668280872,130.5338,2038.91041162228,25.7295397753663,heavy pollution,7.56158108748042,Veryheavy pollution,1206.06430300934,Veryheavy pollution,20.942145820076,l2,37918.4275610333,l4,-0.0789491348836871,0.436717700421309
GD.T10,111.644505,22.1387283333333,SM,S,M,110-120,<23,22.8,1917,0.340480462884975,6.94,0.03,0.788177339901478,0.5034,32.9967,1.45748716550815,0.0228,0.63015992003998,114.1232,2543.43453273363,10.1427,318.908045977011,3.0924,718.890554722639,53.0732305409739,heavy pollution,6.25528480899491,Veryheavy pollution,510.618976226173,heavy pollution,79.416904839876,l4,62629.5274449241,l7,0.68434049671128,-0.0303911629317316
