binFileName	corrected_species	pathogenicity	variable	value
AMDSedi_BP4.concoct.101_sub.contigs.fa_BP4.filtered			numORF_multimetal	6
AMDSedi_BP4.concoct.101_sub.contigs.fa_BP4.filtered			numORF_multidrug	12
AMDSedi_BP4.concoct.101_sub.contigs.fa_BP4.filtered			numORF_asARG	24
AMDSedi_BP4.concoct.101_sub.contigs.fa_BP4.filtered			numORF_MRG	12
AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered			numORF_MRG	61
AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered			numORF_multimetal	28
AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered			numORF_asARG	37
AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered			numORF_multidrug	19
AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered			numORF_MRG	15
AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered			numORF_multidrug	4
AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered			numORF_multimetal	9
AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered			numORF_asARG	16
AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered			numORF_asARG	21
AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered			numORF_multimetal	13
AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered			numORF_MRG	21
AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered			numORF_multidrug	8
AMDSedi_BP4.concoct.120_sub.contigs.fa_BP4.filtered			numORF_multimetal	5
AMDSedi_BP4.concoct.120_sub.contigs.fa_BP4.filtered			numORF_multidrug	13
AMDSedi_BP4.concoct.120_sub.contigs.fa_BP4.filtered			numORF_asARG	26
AMDSedi_BP4.concoct.120_sub.contigs.fa_BP4.filtered			numORF_MRG	26
AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered			numORF_asARG	34
AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered			numORF_multidrug	15
AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered			numORF_MRG	28
