sample core_label_1 sampleCollection type_distance distKb
AADL01.1 beta-lactam pubAMD mediam_leastDistance 11.975
AADL01.1 glycopeptide pubAMD mediam_leastDistance 27.192
AADL01.1 MLS pubAMD mediam_leastDistance 40.677
AADL01.1 multidrug pubAMD mediam_leastDistance 16.0685
AADL01.1 other pubAMD mediam_leastDistance 51.19
AADL01.1 phenicol pubAMD mediam_leastDistance 28.049
AAWO01.1 beta-lactam pubAMD mediam_leastDistance 83.424
AAWO01.1 glycopeptide pubAMD mediam_leastDistance 54.485
AAWO01.1 MLS pubAMD mediam_leastDistance 2.162
AAWO01.1 multidrug pubAMD mediam_leastDistance 33.627
AAWO01.1 other pubAMD mediam_leastDistance 32.983
AH_tailings bacitracin Tailing mediam_leastDistance 19.013
AH_tailings beta-lactam Tailing mediam_leastDistance 1.418
AH_tailings glycopeptide Tailing mediam_leastDistance 4.066
AH_tailings multidrug Tailing mediam_leastDistance 1.9585
AH_tailings other Tailing mediam_leastDistance 4.133
AH_tailings phenicol Tailing mediam_leastDistance 11.871
AH_tailings sulfonamide Tailing mediam_leastDistance 2.317
AH_tailings tetracycline Tailing mediam_leastDistance 1.344
AH_tailings unclassified Tailing mediam_leastDistance 8.318
AUZY01.1 multidrug pubAMD mediam_leastDistance 3.609
CABL01.1 aminoglycoside pubAMD mediam_leastDistance 58.723
CABL01.1 bacitracin pubAMD mediam_leastDistance 46.404
CABL01.1 multidrug pubAMD mediam_leastDistance 100.542
CABL01.1 other pubAMD mediam_leastDistance 141.618
CABL01.1 phenicol pubAMD mediam_leastDistance 45.228
CABL01.1 sulfonamide pubAMD mediam_leastDistance 40.93
CABM01.1 bacitracin pubAMD mediam_leastDistance 2.36
CABM01.1 beta-lactam pubAMD mediam_leastDistance 98.204
CABM01.1 multidrug pubAMD mediam_leastDistance 13.666
CABM01.1 other pubAMD mediam_leastDistance 16.1435
CABM01.1 phenicol pubAMD mediam_leastDistance 59.763
CABM01.1 sulfonamide pubAMD mediam_leastDistance 2.747
CABM01.1 tetracycline pubAMD mediam_leastDistance 27.731
CABN01.1 multidrug pubAMD mediam_leastDistance 3.845
CABO01.1 multidrug pubAMD mediam_leastDistance 3.489
CABO01.1 phenicol pubAMD mediam_leastDistance 42.419
CABP01.1 beta-lactam pubAMD mediam_leastDistance 4.822
CABP01.1 multidrug pubAMD mediam_leastDistance 21.964
CABR01.1 multidrug pubAMD mediam_leastDistance 53.121
CABR01.1 unclassified pubAMD mediam_leastDistance 4.171
CABS01.1 sulfonamide pubAMD mediam_leastDistance 1.548
CMS4 aminoglycoside pubAMD mediam_leastDistance 30.264
CMS4 bacitracin pubAMD mediam_leastDistance 63.901
CMS4 beta-lactam pubAMD mediam_leastDistance 28.816
CMS4 glycopeptide pubAMD mediam_leastDistance 65.073
CMS4 MLS pubAMD mediam_leastDistance 66.464
CMS4 multidrug pubAMD mediam_leastDistance 19.891
CMS4 mupirocin pubAMD mediam_leastDistance 49.767
CMS4 other pubAMD mediam_leastDistance 58.733
CMS4 phenicol pubAMD mediam_leastDistance 33.438
CMS4 sulfonamide pubAMD mediam_leastDistance 59.343
CMS4 tetracycline pubAMD mediam_leastDistance 44.438
CMS4 unclassified pubAMD mediam_leastDistance 52.425
DBS5 aminoglycoside pubAMD mediam_leastDistance 21.7995
DBS5 bacitracin pubAMD mediam_leastDistance 10.947
DBS5 beta-lactam pubAMD mediam_leastDistance 17.899
DBS5 glycopeptide pubAMD mediam_leastDistance 7.9865
DBS5 MLS pubAMD mediam_leastDistance 3.011
DBS5 multidrug pubAMD mediam_leastDistance 16.101
DBS5 mupirocin pubAMD mediam_leastDistance 104.91
DBS5 other pubAMD mediam_leastDistance 21.158
DBS5 phenicol pubAMD mediam_leastDistance 12.1735
DBS5 sulfonamide pubAMD mediam_leastDistance 8.175
