spCollection,sample_name,core_ORF,ARG,MRG_type,MRG,NearestDistance,ARG_type
AMDSedi,AMDSedi_BP4.concoct.101_sub.contigs.fa_BP4.filtered,NODE_4173_length_16416_cov_10.101664_BP4_1,EmrB-QacA_family_major_facilitator_transporter,Arsenic_resistance,ARSM,5389,multidrug
AMDSedi,AMDSedi_BP4.concoct.101_sub.contigs.fa_BP4.filtered,NODE_4607_length_15484_cov_9.889171_BP4_7,bcrA,Multi-metal_resistance,NIA,4726,bacitracin
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_1118_length_35239_cov_3.044031_BP4_21,bacA,Multi-metal_resistance,CORC,13193,bacitracin
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_1118_length_35239_cov_3.044031_BP4_26,TolC,Multi-metal_resistance,CORC,6680,multidrug
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_13309_length_7932_cov_2.992825_BP4_5,PmrF,Multi-metal_resistance,IRLR,444,peptide
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_1426_length_30612_cov_2.941151_BP4_6,PmrF,Multi-metal_resistance,IRLR,447,peptide
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_194_length_91223_cov_2.950876_BP4_11,bcrA,Multi-metal_resistance,CUSA,14014,bacitracin
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_5691_length_13607_cov_3.222849_BP4_2,multidrug_ABC_transporter,Copper_resistance,CORR,10003,multidrug
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_9345_length_9990_cov_2.965021_BP4_6,dfrA3,Multi-metal_resistance,CUEA,5779,diaminopyrimidine
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_995_length_37462_cov_2.836347_BP4_26,emrA,Copper_resistance,CORR,16277,multidrug
AMDSedi,AMDSedi_BP4.concoct.112_sub.contigs.fa_BP4.filtered,NODE_995_length_37462_cov_2.836347_BP4_27,emrB,Copper_resistance,CORR,17457,multidrug
AMDSedi,AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered,NODE_1057_length_36263_cov_2.484752_BP4_33,patA,Multi-metal_resistance,RECGM,20359,fluoroquinolone
AMDSedi,AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered,NODE_173_length_94851_cov_2.406338_BP4_72,patA,Multi-metal_resistance,CUSA,62129,fluoroquinolone
AMDSedi,AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered,NODE_173_length_94851_cov_2.406338_BP4_76,patA,Multi-metal_resistance,CUSA,65558,fluoroquinolone
AMDSedi,AMDSedi_BP4.concoct.115_sub.contigs.fa_BP4.filtered,NODE_1750_length_27383_cov_2.262768_BP4_2,vanX,Multi-metal_resistance,IRLR,20262,glycopeptide
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_1086_length_35775_cov_41.039020_BP4_18,emrB,Multi-metal_resistance,CUEA,7925,multidrug
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_19_length_215947_cov_48.687721_BP4_34,bcrA,Multi-metal_resistance,RECGM,85707,bacitracin
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_296_length_73960_cov_41.267211_BP4_43,mdtA,Multi-metal_resistance,IRLR,16465,multidrug
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_378_length_65200_cov_43.858713_BP4_39,penA,Multi-metal_resistance,IRLR,29861,beta-lactam
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_38_length_173947_cov_46.591192_BP4_101,rpsD_(ramA_or_sud2),Multi-metal_resistance,CORC,56906,unclassified
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_38_length_173947_cov_46.591192_BP4_143,dfrA3,Multi-metal_resistance,CORC,98287,diaminopyrimidine
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_38_length_173947_cov_46.591192_BP4_151,kasugamycin_resistance_protein_ksgA,Multi-metal_resistance,CORC,104414,aminoglycoside
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_38_length_173947_cov_46.591192_BP4_165,penA,Multi-metal_resistance,CORC,118624,beta-lactam
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_61_length_140356_cov_44.148471_BP4_8,clbB,Multi-metal_resistance,CTPC,97885,phenicol
AMDSedi,AMDSedi_BP4.concoct.116.contigs.fa_BP4.filtered,NODE_987_length_37717_cov_44.221522_BP4_18,sul4,Copper_resistance,DNAK,11468,sulfonamide
AMDSedi,AMDSedi_BP4.concoct.120_sub.contigs.fa_BP4.filtered,NODE_1833_length_26714_cov_1.090909_BP4_11,sul4,Copper_resistance,DNAK,11088,sulfonamide
AMDSedi,AMDSedi_BP4.concoct.120_sub.contigs.fa_BP4.filtered,NODE_8661_length_10493_cov_1.236735_BP4_7,sul3,Arsenic_resistance,PSTB,1502,sulfonamide
AMDSedi,AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered,NODE_4472_length_15741_cov_13.422441_BP4_4,MuxA,Multi-metal_resistance,IRLR,7888,multidrug
AMDSedi,AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered,NODE_5021_length_14656_cov_15.387157_BP4_4,ugd,Copper_resistance,CORR,2726,peptide
AMDSedi,AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered,NODE_5021_length_14656_cov_15.387157_BP4_7,multidrug_ABC_transporter,Copper_resistance,CORR,5615,multidrug
AMDSedi,AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered,NODE_5040_length_14630_cov_23.623871_BP4_4,ugd,Copper_resistance,CORR,2697,peptide
AMDSedi,AMDSedi_BP4.concoct.122_sub.contigs.fa_BP4.filtered,NODE_5040_length_14630_cov_23.623871_BP4_7,multidrug_ABC_transporter,Copper_resistance,CORR,5856,multidrug
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_1054_length_36410_cov_6.449687_BP4_23,tetA(48),Multi-metal_resistance,NIA,11481,tetracycline
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_233_length_83447_cov_6.733053_BP4_13,clbB,Copper_resistance,CORR,64065,phenicol
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_233_length_83447_cov_6.733053_BP4_3,penA,Copper_resistance,CORR,72963,beta-lactam
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_342_length_68849_cov_6.603446_BP4_53,bcrA,Copper_resistance,CORR,5131,bacitracin
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_428_length_61588_cov_6.421275_BP4_46,patA,Copper_resistance,CORR,8155,fluoroquinolone
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_461_length_58504_cov_6.402487_BP4_43,vanH,Copper_resistance,CORR,43285,glycopeptide
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_610_length_49633_cov_6.263746_BP4_26,bcrA,Copper_resistance,CORR,5807,bacitracin
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_634_length_48383_cov_6.480790_BP4_30,vanX,Copper_resistance,CORR,13397,glycopeptide
AMDSedi,AMDSedi_BP4.concoct.124.contigs.fa_BP4.filtered,NODE_691_length_46365_cov_6.372962_BP4_11,cob(I)alamin_adenolsyltransferase,Multi-metal_resistance,CTPC,16134,unclassified
AMDSedi,AMDSedi_BP4.concoct.133_sub.contigs.fa_BP4.filtered,NODE_4176_length_16410_cov_1.398207_BP4_16,ugd,Copper_resistance,CORR,5465,peptide
AMDSedi,AMDSedi_BP4.concoct.17.contigs.fa_BP4.filtered,NODE_1724_length_27614_cov_4.842216_BP4_14,mdtA,Copper_resistance,CORR,13601,multidrug
AMDSedi,AMDSedi_BP4.concoct.17.contigs.fa_BP4.filtered,NODE_1724_length_27614_cov_4.842216_BP4_20,MexV,Copper_resistance,CORR,21076,multidrug
AMDSedi,AMDSedi_BP4.concoct.17.contigs.fa_BP4.filtered,NODE_5252_length_14269_cov_4.569863_BP4_4,multidrug_ABC_transporter,Copper_resistance,ACTPC,9092,multidrug
